Type,Feature,Description,Categories,Description,Values
ID,Trial id,Trial id in database,tid,,
Outcome,Outcome,Transition to next phase of development of the drug,outcome,,"0=Failure, 1=Approval"
Drug,Route,"Route of administration of the drug, the path by which the drug is taken into the body",route.1,Oral,"0=No, 1=Yes"
Drug,Route,"Route of administration of the drug, the path by which the drug is taken into the body",route.10,Topical,"0=No, 1=Yes"
Drug,Route,"Route of administration of the drug, the path by which the drug is taken into the body",route.17,Injectable,"0=No, 1=Yes"
Drug,Origin,Origin of the active ingredient in the drug,origin.6,"Chemical, synthetic","0=No, 1=Yes"
Drug,Origin,Origin of the active ingredient in the drug,origin.25,"Biological, protein, antibody","0=No, 1=Yes"
Drug,Medium,Medium of the drug,medium.8,Solution,"0=No, 1=Yes"
Drug,Medium,Medium of the drug,medium.12,"Capsule, hard","0=No, 1=Yes"
Drug,Medium,Medium of the drug,medium.13,"Capsule, soft","0=No, 1=Yes"
Drug,Medium,Medium of the drug,medium.14,Tablet,"0=No, 1=Yes"
Drug,Medium,Medium of the drug,medium.25,Suspension,"0=No, 1=Yes"
Trial,Target accrual,"Target accrual (i.e., sample size) of the trial",taracc,,
Trial,Study design,Design of the trial (keywords),dkw.1,Randomized,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.2,Efficacy,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.3,Safety,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.4,Placebo control,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.5,Pharmacokinetics,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.6,Pharmacodynamics,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.13,Double blind/blinded,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.14,Open label,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.16,Active comparator,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.18,Dose response,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.24,Single arm,"0=No, 1=Yes"
Trial,Study design,Design of the trial (keywords),dkw.25,Multiple arm,"0=No, 1=Yes"
Trial,Sponsor type,Sponsors of the trial grouped by types,stid.1,"Industry, all other pharma","0=No, 1=Yes"
Trial,Sponsor type,Sponsors of the trial grouped by types,stid.2,Cooperative Group,"0=No, 1=Yes"
Trial,Sponsor type,Sponsors of the trial grouped by types,stid.3,Academic,"0=No, 1=Yes"
Trial,Sponsor type,Sponsors of the trial grouped by types,stid.8,Government,"0=No, 1=Yes"
Trial,Sponsor type,Sponsors of the trial grouped by types,stid.31,"Industry, Top 20 Pharma","0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.2,United States,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.3,Canada,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.67,Australia,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.8,France,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.10,Russia,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.11,Spain,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.23,Poland,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.25,Germany,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.26,Italy,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.30,Netherlands,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.32,Belgium,"0=No, 1=Yes"
Trial,Locations,Locations of the trial by country,loc.68,United Kingdom,"0=No, 1=Yes"
